alpha,c_l,c_d,c_m,rel_thickness
-180,0,0.6,0,1000
-175,0,0.6,0,1000
-170,0,0.6,0,1000
-165,0,0.6,0,1000
-160,0,0.6,0,1000
-155,0,0.6,0,1000
-150,0,0.6,0,1000
-145,0,0.6,0,1000
-140,0,0.6,0,1000
-135,0,0.6,0,1000
-130,0,0.6,0,1000
-125,0,0.6,0,1000
-120,0,0.6,0,1000
-115,0,0.6,0,1000
-110,0,0.6,0,1000
-105,0,0.6,0,1000
-100,0,0.6,0,1000
-95,0,0.6,0,1000
-90,0,0.6,0,1000
-85,0,0.6,0,1000
-80,0,0.6,0,1000
-75,0,0.6,0,1000
-70,0,0.6,0,1000
-65,0,0.6,0,1000
-60,0,0.6,0,1000
-55,0,0.6,0,1000
-50,0,0.6,0,1000
-45,0,0.6,0,1000
-40,0,0.6,0,1000
-39,0,0.6,0,1000
-38,0,0.6,0,1000
-37,0,0.6,0,1000
-36,0,0.6,0,1000
-35,0,0.6,0,1000
-34,0,0.6,0,1000
-33,0,0.6,0,1000
-32,0,0.6,0,1000
-30,0,0.6,0,1000
-28,0,0.6,0,1000
-26,0,0.6,0,1000
-24,0,0.6,0,1000
-22,0,0.6,0,1000
-20,0,0.6,0,1000
-18,0,0.6,0,1000
-16,0,0.6,0,1000
-14,0,0.6,0,1000
-12,0,0.6,0,1000
-10,0,0.6,0,1000
-8,0,0.6,0,1000
-6,0,0.6,0,1000
-4,0,0.6,0,1000
-2,0,0.6,0,1000
0,0,0.6,0,1000
2,0,0.6,0,1000
4,0,0.6,0,1000
6,0,0.6,0,1000
8,0,0.6,0,1000
10,0,0.6,0,1000
12,0,0.6,0,1000
14,0,0.6,0,1000
16,0,0.6,0,1000
18,0,0.6,0,1000
20,0,0.6,0,1000
22,0,0.6,0,1000
24,0,0.6,0,1000
26,0,0.6,0,1000
28,0,0.6,0,1000
30,0,0.6,0,1000
32,0,0.6,0,1000
33,0,0.6,0,1000
34,0,0.6,0,1000
35,0,0.6,0,1000
36,0,0.6,0,1000
37,0,0.6,0,1000
38,0,0.6,0,1000
39,0,0.6,0,1000
40,0,0.6,0,1000
45,0,0.6,0,1000
50,0,0.6,0,1000
55,0,0.6,0,1000
60,0,0.6,0,1000
65,0,0.6,0,1000
70,0,0.6,0,1000
75,0,0.6,0,1000
80,0,0.6,0,1000
85,0,0.6,0,1000
90,0,0.6,0,1000
95,0,0.6,0,1000
100,0,0.6,0,1000
105,0,0.6,0,1000
110,0,0.6,0,1000
115,0,0.6,0,1000
120,0,0.6,0,1000
125,0,0.6,0,1000
130,0,0.6,0,1000
135,0,0.6,0,1000
140,0,0.6,0,1000
145,0,0.6,0,1000
150,0,0.6,0,1000
155,0,0.6,0,1000
160,0,0.6,0,1000
165,0,0.6,0,1000
170,0,0.6,0,1000
175,0,0.6,0,1000
180,0,0.6,0,1000
