alpha,c_l,c_d,c_m,rel_thickness
-180,0.0,0.0,0.0,301
-175,0.1736,0.0099,0.0218,301
-170,0.342,0.0392,0.0434,301
-165,0.5,0.0871,0.0647,301
-160,0.6428,0.1521,0.0855,301
-155,0.766,0.2322,0.1057,301
-150,0.866,0.325,0.125,301
-145,0.9397,0.4277,0.1434,301
-140,0.9848,0.5371,0.1607,301
-135,1.0,0.65,0.1768,301
-130,0.9848,0.7629,0.1915,301
-125,0.9397,0.8723,0.2048,301
-120,0.866,0.975,0.2165,301
-115,0.766,1.0678,0.2266,301
-110,0.6428,1.1479,0.2349,301
-105,0.5,1.2129,0.2415,301
-100,0.342,1.2608,0.2462,301
-95,0.1736,1.2901,0.249,301
-90,0.0,1.3,0.25,301
-85,-0.1736,1.2901,0.249,301
-80,-0.342,1.2608,0.2462,301
-75,-0.5,1.2129,0.2415,301
-70,-0.6428,1.1479,0.2349,301
-65,-0.766,1.0678,0.2266,301
-60,-0.866,0.975,0.2165,301
-55,-0.9397,0.8723,0.2048,301
-50,-0.9848,0.7629,0.1915,301
-45,-1.0,0.65,0.1768,301
-40,-1.0216,0.5422,0.1416,301
-39,-1.0239,0.5206,0.1346,301
-38,-1.0162,0.4991,0.1276,301
-37,-1.0185,0.4775,0.1205,301
-36,-1.0108,0.4559,0.1135,301
-35,-1.0031,0.4344,0.1065,301
-34,-0.9954,0.4128,0.0994,301
-33,-0.9777,0.3913,0.0924,301
-32,-0.96353,0.28972,0.05151,301
-30,-0.96034,0.2563,0.03891,301
-28,-0.95716,0.22288,0.02632,301
-26,-0.94406,0.19412,0.01542,301
-24,-0.93096,0.16535,0.00452,301
-22,-0.90466,0.14171,-0.0039,301
-20,-0.87836,0.11807,-0.01232,301
-18,-0.84588,0.09862,-0.01749,301
-16,-0.8134,0.07917,-0.02266,301
-14,-0.77281,0.06434,-0.02352,301
-12,-0.73222,0.04951,-0.02439,301
-10,-0.69346,0.0381,-0.02269,301
-8,-0.65469,0.02669,-0.02098,301
-6,-0.45069,0.02036,-0.03892,301
-4,-0.2467,0.01402,-0.05686,301
-2,0.02948,0.01292,-0.07166,301
0,0.30565,0.01182,-0.08646,301
2,0.56697,0.01193,-0.09545,301
4,0.81993,0.01247,-0.10235,301
6,1.06139,0.01355,-0.10706,301
8,1.28736,0.01523,-0.1094,301
10,1.48403,0.01797,-0.10793,301
12,1.63878,0.02239,-0.10258,301
14,1.71231,0.03217,-0.09482,301
16,1.60446,0.05845,-0.08937,301
18,1.4184,0.09922,-0.09427,301
20,1.30631,0.13948,-0.1041,301
22,1.25093,0.1784,-0.11503,301
24,1.19555,0.21731,-0.12596,301
26,1.17741,0.25524,-0.1369,301
28,1.15927,0.29318,-0.14784,301
30,1.14777,0.3328,-0.159,301
32,1.13626,0.37242,-0.17015,301
33,1.1509,0.4288,-0.1366,301
34,1.1629,0.4501,-0.1406,301
35,1.1648,0.4712,-0.1447,301
36,1.1565,0.4922,-0.1487,301
37,1.1482,0.5131,-0.1526,301
38,1.1499,0.534,-0.1565,301
39,1.1415,0.5547,-0.1604,301
40,1.123,0.5753,-0.1643,301
45,1.0304,0.6772,-0.1833,301
50,0.9756,0.77647,-0.19437,301
55,0.9208,0.87573,-0.20543,301
60,0.866,0.975,-0.2165,301
65,0.766,1.0678,-0.2266,301
70,0.6428,1.1479,-0.2349,301
75,0.5,1.2129,-0.2415,301
80,0.342,1.2608,-0.2462,301
85,0.1736,1.2901,-0.249,301
90,0.0,1.3,-0.25,301
95,-0.1736,1.2901,-0.249,301
100,-0.342,1.2608,-0.2462,301
105,-0.5,1.2129,-0.2415,301
110,-0.6428,1.1479,-0.2349,301
115,-0.766,1.0678,-0.2266,301
120,-0.866,0.975,-0.2165,301
125,-0.9397,0.8723,-0.2048,301
130,-0.9848,0.7629,-0.1915,301
135,-1.0,0.65,-0.1768,301
140,-0.9848,0.5371,-0.1607,301
145,-0.9397,0.4277,-0.1434,301
150,-0.866,0.325,-0.125,301
155,-0.766,0.2322,-0.1057,301
160,-0.6428,0.1521,-0.0855,301
165,-0.5,0.0871,-0.0647,301
170,-0.342,0.0392,-0.0434,301
175,-0.1736,0.0099,-0.0218,301
180,0.0,0.0,0.0,301
