radius,twist,chord,rel_thickness
2.8,14.5,5.38,1000.0
11.0027383,14.4320088,5.45248001,860.4914759999999
16.871021,12.5459743,5.86600432,610.969583
22.9641225,8.89245229,6.18451124,430.356446
32.3076383,6.38219779,6.01996243,324.15052699999995
41.5730197,4.67357583,5.42189119,278.103477
50.4110617,2.88655238,4.69821952,253.17976000000002
58.5344352,1.20718981,3.99867965,242.644205
65.7500952,-0.130379615,3.39809449,241.00681500000002
71.9674921,-1.11392478,2.91304006,241.0
77.1859743,-1.86195876,2.53594729,241.000016
78.7133469,-2.0776268,2.4307714,241.000006
80.1402166,-2.2800794,2.33143176,241.0
82.7084849,-2.64408409,2.12906893,241.0
84.9251565,-2.94507068,1.9033225,241.0
86.8264859,-3.17732896,1.62601186,241.0
88.4486629,-3.35752648,1.18359898,241.0
89.166,-3.428,0.6,241.0
